Txn hash,Blockno,UnixTimestamp,Token,Method,Token In,Token Out,Token Balance Change,TxnFee(CKB),date(UTC)
0xe1d8483b135facb4280e0ac06f84afdee46d763875336068cd8613c0056743c0,19017824,1775450151617,CKB,PAYMENT SENT,4633639.31730524,1248589.31729338,3385050.00001186,0.00001186,2026-04-06 04:35:51
0x6ad0e217a800ae14c650139661ba3c40fdb381091b8fa850c46a5670120229c1,18931447,1774502404138,CKB,PAYMENT SENT,6953227.3173171,4633639.31730524,2319588.00001186,0.00001186,2026-03-26 05:20:04
0x85fb0634ab39ed5f9b5d0fd4f22d6352a76d3102dc5d35581c6c7afa05b0294c,18858860,1773705909310,CKB,PAYMENT SENT,12065049.31732896,6953227.3173171,5111822.00001186,0.00001186,2026-03-17 00:05:09
0xc0d6256f62667a86f655add3d2a0dd22cf76e3afac82d6fd2690026289af72f2,18807765,1773134084991,CKB,PAYMENT SENT,14351635.31734082,12065049.31732896,2286586.00001186,0.00001186,2026-03-10 09:14:44
0x99f25871c99b6f663b301fa267bf94a3c2649c2356f22b5f4cb4f7f1658ecb56,18807679,1773132792614,CKB,PAYMENT SENT,17061663.31735268,14351635.31734082,2710028.00001186,0.00001186,2026-03-10 08:53:12
0x41a182b678b6312ac85807834a915bc9529f1c898b3ee4f27f2c3392b181fcbd,18591468,1770778846821,CKB,PAYMENT SENT,17972410.31736454,17061663.31735268,910747.00001186,0.00001186,2026-02-11 03:00:46
0x2238842cbff411e10c63c316ca9bd4efabcd0e3861d29d1cf9a483b6631eb97e,18153579,1766221042957,CKB,PAYMENT SENT,33172643.67737748,17972410.31736454,15200233.36001294,0.00001294,2025-12-20 08:57:22
0x1cc067b60fe869704d48ab537b36f15ecdf8851b27b93b6bb2e67be79681675b,18145529,1766133943347,CKB,PAYMENT SENT,13095765.47738938,10172643.67737748,2923121.8000119,0.0000119,2025-12-19 08:45:43
0x07aef49a7290a534a901bb1e1bb701c141976cb4a7843cd3c4772e88ed12dfcb,18133885,1766021421865,CKB,PAYMENT SENT,14486461.32040124,13095765.47738938,1390695.84301186,0.00001186,2025-12-18 01:30:21
0x0d802fe8793e15ca39ca7a87f1defdcdcbbfcad4e6ea9bfd823d7b5bccb28907,17622965,1761185336464,CKB,PAYMENT SENT,16415102.32041414,14486461.32040124,1928641.0000129,0.0000129,2025-10-23 02:08:56
